
Train set: Average loss: 0.0011, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0015, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0011, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0060, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0052, Accuracy: 402/425 (95%)


Train set: Average loss: 0.0056, Accuracy: 404/425 (95%)


Train set: Average loss: 0.0022, Accuracy: 418/425 (98%)


 The epoch is 90, average recall: 0.6552, average precision: 0.7037,average F1: 0.6786, average accuracy: 0.6949, average AUC: 0.8063
Train set: Average loss: 0.0019, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0020, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0021, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0022, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0035, Accuracy: 409/425 (96%)


Train set: Average loss: 0.0060, Accuracy: 407/425 (96%)


Train set: Average loss: 0.0038, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0020, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0042, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0062, Accuracy: 400/425 (94%)


 The epoch is 100, average recall: 0.6724, average precision: 0.7091,average F1: 0.6903, average accuracy: 0.7034, average AUC: 0.7882
Train set: Average loss: 0.0048, Accuracy: 404/425 (95%)


Train set: Average loss: 0.0031, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0019, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0029, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0023, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0024, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0027, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0053, Accuracy: 411/425 (97%)


Train set: Average loss: 0.0025, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0024, Accuracy: 416/425 (98%)


 The epoch is 110, average recall: 0.7069, average precision: 0.7069,average F1: 0.7069, average accuracy: 0.7119, average AUC: 0.8328
Train set: Average loss: 0.0015, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0013, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0029, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0019, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0027, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0017, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0017, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0019, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0016, Accuracy: 420/425 (99%)


 The epoch is 120, average recall: 0.6724, average precision: 0.7222,average F1: 0.6964, average accuracy: 0.7119, average AUC: 0.7853
Train set: Average loss: 0.0009, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0014, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0010, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0032, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0037, Accuracy: 409/425 (96%)


Train set: Average loss: 0.0029, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0017, Accuracy: 418/425 (98%)


 The epoch is 130, average recall: 0.6379, average precision: 0.6491,average F1: 0.6435, average accuracy: 0.6525, average AUC: 0.7960
Train set: Average loss: 0.0015, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0017, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0016, Accuracy: 420/425 (99%)


